,z,SNR,GLON,GLAT,Msz,Y500
1103,0.08340000361204147,12.04624080657959,243.64354293730216,67.74869183008207,3.918597459793091,9.699053764343262
1104,0.10300000011920929,6.7302937507629395,244.11800969147916,-53.59250126090376,2.768320322036743,5.313389301300049
1105,-1.0,4.613563537597656,244.12295474843827,26.12215159888398,0.0,0.9044464826583862
1106,0.2838999927043915,11.957651138305664,244.37829078267845,-32.15814663166262,7.4062089920043945,2.875119924545288
1107,0.25099998712539673,4.927114486694336,244.68060658380446,8.637612044129128,4.442538261413574,2.52014422416687
1108,0.1535000056028366,10.132345199584961,244.7135748663476,32.50804379357657,5.229553699493408,4.311795234680176
1109,0.3190000057220459,5.95390510559082,244.74749604858556,-28.59299676601526,4.952251434326172,1.049702763557434
1110,0.4659203588962555,4.861810684204102,244.77697509771062,59.80544936774159,5.841239929199219,1.406086802482605
1111,0.1729000061750412,8.786389350891113,245.47687797793816,-53.62311215374871,4.4202070236206055,3.6711020469665527
1112,-1.0,4.926088809967041,245.66985621785153,-7.40993758686173,0.0,1.6077741384506226
1113,0.07559999823570251,5.117325305938721,245.70214851769973,-33.75031696965982,1.9427168369293213,3.021322727203369
1114,0.03579999879002571,4.587856769561768,246.36312019241905,-30.273497774049872,1.1267390251159668,3.3606362342834473
1115,0.4359999895095825,4.935765266418457,246.41082368494205,13.148811992465482,5.711579322814941,3.1211583614349365
1116,-1.0,5.48760461807251,246.45129704964867,-7.682810997389566,0.0,1.1856006383895874
1117,0.08100000023841858,4.634349822998047,246.4984945417687,-35.311923419093176,1.453552007675171,0.6038447618484497
1118,0.046799998730421066,10.94088363647461,246.50746531792007,-26.093371296419733,2.3838436603546143,12.943537712097168
1119,-1.0,7.861598968505859,246.86662675989507,-12.290582339377096,0.0,13.145710945129395
1120,-1.0,4.803064823150635,246.9195074022083,24.652001191362928,0.0,0.8611436486244202
1121,-1.0,5.3697710037231445,247.14646092794948,25.882521242043254,0.0,2.5324959754943848
1122,0.15199999511241913,8.33042049407959,247.1901194971242,-23.31317300978087,4.078644752502441,2.739593267440796
1123,0.06430000066757202,5.943631649017334,247.5622884878376,-56.067256824390796,1.8016499280929565,3.236835479736328
1124,0.34369999170303345,4.9875946044921875,247.6975205901861,-25.061476041061525,4.321514129638672,0.6606281399726868
1125,0.16339999437332153,4.728090763092041,247.9781711068432,33.52927480206436,3.219992160797119,3.2489049434661865
1126,0.23000000417232513,4.507379531860352,247.9985406872869,-26.377762777149698,3.4340107440948486,1.0571765899658203
1127,-1.0,5.531290531158447,248.95602919462291,-20.717941846971797,0.0,0.9041493535041809
